food_code,category
14640014,Cheese sandwiches
14640016,Cheese sandwiches
14640100,Cheese sandwiches
14640105,Cheese sandwiches
14640110,Cheese sandwiches
14640125,Cheese sandwiches
14640130,Cheese sandwiches
14640155,Cheese sandwiches
14640160,Cheese sandwiches
14650100,"Dips, gravies, other sauces"
14650160,"Dips, gravies, other sauces"
14650165,"Dips, gravies, other sauces"
14650170,"Dips, gravies, other sauces"
14650175,"Dips, gravies, other sauces"
14650180,"Dips, gravies, other sauces"
14650185,"Dips, gravies, other sauces"
14650190,"Dips, gravies, other sauces"
14650195,"Dips, gravies, other sauces"
14660200,Cheese
14670000,"Coleslaw, non-lettuce salads"
20000000,"Beef, excludes ground"
20000200,Ground beef
20000300,Baby food: meat and dinners
21000100,"Beef, excludes ground"
21001000,"Beef, excludes ground"
21101000,"Beef, excludes ground"
21101140,"Beef, excludes ground"
21101150,"Beef, excludes ground"
21101160,"Beef, excludes ground"
21101170,"Beef, excludes ground"
21101180,"Beef, excludes ground"
21101190,"Beef, excludes ground"
21102140,"Beef, excludes ground"
21102150,"Beef, excludes ground"
21102160,"Beef, excludes ground"
21102170,"Beef, excludes ground"
21102180,"Beef, excludes ground"
21102190,"Beef, excludes ground"
21103140,"Beef, excludes ground"
21103150,"Beef, excludes ground"
21103160,"Beef, excludes ground"
21103170,"Beef, excludes ground"
21103180,"Beef, excludes ground"
21104110,"Beef, excludes ground"
21301000,"Beef, excludes ground"
21302000,"Beef, excludes ground"
21304200,"Beef, excludes ground"
21305000,"Beef, excludes ground"
21401000,"Beef, excludes ground"
21407000,"Beef, excludes ground"
21410000,"Beef, excludes ground"
21416000,Cold cuts and cured meats
21417100,"Beef, excludes ground"
21420100,"Beef, excludes ground"
21500000,Ground beef
21500100,Ground beef
21500310,Ground beef
21601000,Bacon
21601010,Bacon
21602000,Cold cuts and cured meats
21602010,Cold cuts and cured meats
21602100,Cold cuts and cured meats
21701010,Baby food: meat and dinners
22000100,Pork
22002000,Pork
22002050,Pork
22002800,Cold cuts and cured meats
22101000,Pork
22101010,Pork
22101020,Pork
22101300,Pork
22101310,Pork
22101320,Pork
22101330,Meat mixed dishes
22201100,Pork
22201110,Pork
22201120,Pork
22201400,Pork
22210300,Pork
22311000,Cold cuts and cured meats
22311450,Cold cuts and cured meats
22311500,Cold cuts and cured meats
22321110,Cold cuts and cured meats
22400100,Pork
22431000,Cold cuts and cured meats
22501010,Cold cuts and cured meats
22600100,Bacon
22600110,Bacon
22600200,Bacon
22600210,Bacon
22601000,Bacon
22601040,Bacon
22602010,Bacon
22621100,Butter and animal fats
22700000,Pork
22701000,Pork
22704010,Pork
22705010,Pork
